"expID","subID","eye","targetCategory","targetID","quadrant","breakTime","flag","outlier","pairedID"
"Binary","4","Left","Inverted",35,"Right",4.3303225,0,0,"B15"
"Binary","4","Left","Upright",16,"Left",14.5271332,0,1,"A16"
"Binary","4","Left","Inverted",30,"Right",5.9878367,0,0,"B10"
"Binary","4","Left","Upright",7,"Right",3.8687239,0,0,"A07"
"Binary","4","Left","Upright",14,"Left",12.0349272,0,0,"A14"
"Binary","4","Left","Upright",8,"Right",4.6613438,0,0,"A08"
"Binary","4","Left","Inverted",25,"Right",3.1850082,0,0,"B05"
"Binary","4","Left","Inverted",33,"Left",12.6047701,0,0,"B13"
"Binary","4","Left","Upright",1,"Right",5.254755,0,0,"A01"
"Binary","4","Left","Inverted",40,"Left",10.9293548,0,0,"B20"
"Binary","4","Left","Inverted",29,"Right",5.3869906,0,0,"B09"
"Binary","4","Left","Inverted",38,"Right",3.8049809,0,0,"B18"
"Binary","4","Left","Upright",9,"Right",3.9051255,0,0,"A09"
"Binary","4","Left","Upright",4,"Left",3.9710354,0,0,"A04"
"Binary","4","Left","Upright",17,"Right",2.5015868,0,0,"A17"
"Binary","4","Left","Inverted",39,"Right",4.3912008,0,0,"B19"
"Binary","4","Left","Inverted",38,"Left",3.9390981,0,0,"B18"
"Binary","4","Left","Inverted",37,"Left",0.0001848,1,NA,"B17"
"Binary","4","Left","Inverted",23,"Right",0.0001564,1,NA,"B03"
"Binary","4","Left","Inverted",34,"Right",0.0001573,1,NA,"B14"
"Binary","4","Left","Inverted",31,"Right",0.0001614,1,NA,"B11"
"Binary","4","Left","Inverted",30,"Left",0.000157,1,NA,"B10"
"Binary","4","Left","Inverted",39,"Left",0.0001569,1,NA,"B19"
"Binary","4","Left","Upright",13,"Right",0.0001576,1,NA,"A13"
"Binary","4","Left","Inverted",32,"Left",0.0001555,1,NA,"B12"
"Binary","4","Left","Inverted",26,"Right",0.0001529,1,NA,"B06"
"Binary","4","Left","Inverted",29,"Left",6.2372753,0,0,"B09"
"Binary","4","Left","Inverted",23,"Left",5.0424726,0,0,"B03"
